T;Ax;Ay;Az;CLASS
0.00;-0.30;-0.17;0.94;
50.00;-0.44;0.04;0.98;
100.00;0.05;-0.35;0.46;
150.00;-0.08;0.07;0.91;
200.00;0.00;0.04;0.79;
250.00;-0.25;0.12;1.12;
300.00;-0.35;0.10;1.19;
350.00;-0.23;-0.07;1.12;
400.00;-0.32;-0.11;1.23;
450.00;-0.14;-0.18;1.39;
500.00;-0.23;-0.09;1.35;
550.00;-0.30;-0.09;1.24;
600.00;-0.32;-0.05;1.15;
650.00;-0.17;-0.13;1.00;
700.00;-0.10;-0.20;0.81;
750.00;-0.13;-0.18;0.84;
800.00;-0.23;-0.20;0.83;
850.00;-0.24;-0.12;0.87;
900.00;-0.13;-0.03;0.94;
950.00;-0.38;-0.03;1.02;
1000.00;-0.19;-0.04;0.99;
1050.00;0.25;-0.04;0.47;
1100.00;0.50;-0.11;0.15;Positive
1150.00;1.57;-0.20;-0.78;Positive
1200.00;1.18;-0.10;-0.24;Positive
1250.00;0.82;-0.02;-0.12;Positive
1300.00;1.20;-0.10;-0.39;Positive
1350.00;0.90;-0.06;-0.19;Positive
1400.00;1.28;-0.20;-0.36;Positive
1450.00;1.22;-0.15;-0.33;Positive
1500.00;1.05;-0.19;-0.23;Positive
1550.00;0.39;-0.19;-0.00;Positive
1600.00;-0.29;-0.08;0.41;Positive
1650.00;-1.10;-0.15;0.93;Positive
1700.00;-1.25;-0.01;1.29;Positive
1750.00;-0.53;-0.17;0.85;Positive
1800.00;-0.32;-0.18;0.85;Positive
1850.00;-0.66;-0.13;0.92;Positive
1900.00;-0.47;-0.14;0.85;Positive
1950.00;-0.39;-0.11;0.85;Positive
2000.00;-0.59;-0.14;0.99;Positive
2050.00;-0.78;-0.21;1.14;Positive
2100.00;-0.81;-0.12;1.10;Positive
2150.00;-0.75;-0.04;0.49;Positive
2200.00;0.48;-0.07;-0.98;Positive
2250.00;1.77;-0.38;-1.12;Positive
2300.00;0.97;0.59;-0.57;Positive
2350.00;0.95;-0.15;-0.25;Positive
2400.00;1.03;-0.05;-0.21;Positive
2450.00;0.95;-0.08;-0.12;Positive
2500.00;1.08;-0.09;-0.22;Positive
2550.00;1.05;-0.01;-0.16;Positive
2600.00;1.29;-0.04;-0.24;Positive
2650.00;0.76;0.02;0.07;Positive
2700.00;0.28;-0.19;0.45;Positive
2750.00;0.00;-0.25;0.68;Positive
2800.00;-0.66;-0.28;0.82;Positive
2850.00;-0.91;-0.21;1.05;Positive
2900.00;-0.90;-0.25;1.01;Positive
2950.00;-0.50;-0.24;0.84;Positive
3000.00;-0.38;-0.23;0.81;Positive
3050.00;-0.49;-0.23;0.86;Positive
3100.00;-0.49;-0.21;0.85;Positive
3150.00;-0.47;-0.23;0.84;Positive
3200.00;-0.51;-0.25;0.90;Positive
3250.00;-0.73;-0.25;1.07;Positive
3300.00;-0.75;-0.27;1.08;Positive
3350.00;-0.71;-0.10;0.86;Positive
3400.00;-0.37;-0.17;-0.23;Positive
3450.00;1.49;0.01;-1.37;Positive
3500.00;2.00;-0.01;-0.67;Positive
3550.00;-0.04;0.14;0.18;Positive
3600.00;1.32;-0.13;-0.53;Positive
3650.00;0.91;-0.06;-0.19;Positive
3700.00;1.17;-0.11;-0.31;Positive
3750.00;1.22;-0.09;-0.31;Positive
3800.00;0.97;-0.14;-0.06;Positive
3850.00;0.66;-0.16;0.30;Positive
3900.00;0.54;-0.19;0.54;Positive
3950.00;0.15;-0.25;0.61;Positive
4000.00;-0.59;-0.31;0.69;Positive
4050.00;-1.08;-0.23;1.01;Positive
4100.00;-0.85;-0.17;0.97;Positive
4150.00;-0.41;-0.23;0.78;Positive
4200.00;-0.46;-0.21;0.83;Positive
